# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1708936658.7933621,0,-0.5274074077606201,1.6682552099227905,0,0
1,1708936658.9716847,3200,-0.5274074077606201,1.6682552099227905,0.5072034001350403,2.1657004356384277
2,1708936659.6924956,6400,-0.5328030586242676,9.403508186340332,0.5072034001350403,2.1657004356384277
3,1708936659.766739,9600,-0.5328030586242676,9.403508186340332,0.5375383496284485,10.84756851196289
4,1708936660.6484296,12800,-0.4783904552459717,8.05936336517334,0.5375383496284485,10.84756851196289
5,1708936660.7553859,16000,-0.4783904552459717,8.05936336517334,0.4843200147151947,8.4399995803833
6,1708936661.5659308,19200,-0.4783904552459717,8.05936336517334,0.3968038856983185,11.881976127624512
7,1708936661.6715052,22400,-0.3968363106250763,11.402656555175781,0.3968038856983185,11.881976127624512
8,1708936662.4538374,25600,-0.3968363106250763,11.402656555175781,0.3462224006652832,11.535910606384277
9,1708936662.692855,28800,-0.35295727849006653,10.877233505249023,0.3462224006652832,11.535910606384277
10,1708936663.279912,32000,-0.35295727849006653,10.877233505249023,0.27939459681510925,8.150291442871094
11,1708936663.6603172,35200,-0.27327266335487366,8.283836364746094,0.27939459681510925,8.150291442871094
12,1708936664.068042,38400,-0.27327266335487366,8.283836364746094,0.2347363531589508,9.646717071533203
13,1708936664.5978982,41600,-0.2330387979745865,9.576706886291504,0.2347363531589508,9.646717071533203
14,1708936664.8971047,44800,-0.2330387979745865,9.576706886291504,0.19793233275413513,9.521893501281738
15,1708936665.5538094,48000,-0.1738639622926712,7.241611480712891,0.19793233275413513,9.521893501281738
16,1708936665.6902764,51200,-0.1738639622926712,7.241611480712891,0.147880420088768,6.153818130493164
17,1708936666.4538972,54400,-0.1738639622926712,7.241611480712891,0.16096730530261993,6.925100803375244
18,1708936666.5473135,57600,-0.20267991721630096,7.132526874542236,0.16096730530261993,6.925100803375244
19,1708936667.239268,60800,-0.20267991721630096,7.132526874542236,0.15680746734142303,8.77196979522705
20,1708936667.5512142,64000,-0.18694034218788147,8.694515228271484,0.15680746734142303,8.77196979522705
21,1708936668.0078964,67200,-0.18694034218788147,8.694515228271484,0.14771921932697296,8.707147598266602
22,1708936668.4992962,70400,-0.17480014264583588,8.644190788269043,0.14771921932697296,8.707147598266602
23,1708936668.8482435,73600,-0.17480014264583588,8.644190788269043,0.13919080793857574,7.8705644607543945
24,1708936669.4523323,76800,-0.1582338511943817,8.158346176147461,0.13919080793857574,7.8705644607543945
25,1708936669.6122215,80000,-0.1582338511943817,8.158346176147461,0.12328284233808517,8.908303260803223
26,1708936670.4380817,83200,-0.12379204481840134,11.759084701538086,0.12328284233808517,8.908303260803223
27,1708936670.4590912,86400,-0.12379204481840134,11.759084701538086,0.09427838027477264,11.996744155883789
28,1708936671.2086651,89600,-0.12379204481840134,11.759084701538086,0.09306216239929199,15.320984840393066
29,1708936671.380548,92800,-0.11902517825365067,16.19896697998047,0.09306216239929199,15.320984840393066
30,1708936671.9400256,96000,-0.11902517825365067,16.19896697998047,0.0798611044883728,10.805761337280273
31,1708936672.2644198,99200,-0.09598992019891739,9.229835510253906,0.0798611044883728,10.805761337280273
32,1708936672.6789634,102400,-0.09598992019891739,9.229835510253906,0.0638182982802391,8.33462905883789
33,1708936673.1139462,105600,-0.09141366928815842,7.3870697021484375,0.0638182982802391,8.33462905883789
34,1708936673.3649116,108800,-0.09141366928815842,7.3870697021484375,0.06430953741073608,7.248641490936279
35,1708936673.9959464,112000,-0.08955180644989014,9.141719818115234,0.06430953741073608,7.248641490936279
36,1708936674.0903394,115200,-0.08955180644989014,9.141719818115234,0.06387615948915482,9.765996932983398
37,1708936674.7494988,118400,-0.08955180644989014,9.141719818115234,0.057472869753837585,9.429509162902832
38,1708936674.868558,121600,-0.07878534495830536,9.701888084411621,0.057472869753837585,9.429509162902832
39,1708936675.4474432,124800,-0.07878534495830536,9.701888084411621,0.053533218801021576,8.641685485839844
40,1708936675.7810447,128000,-0.08191428333520889,8.22840404510498,0.053533218801021576,8.641685485839844
41,1708936676.1513052,131200,-0.08191428333520889,8.22840404510498,0.058090221136808395,8.29858684539795
42,1708936676.6362581,134400,-0.10567022860050201,7.4436821937561035,0.058090221136808395,8.29858684539795
43,1708936676.8135388,137600,-0.10567022860050201,7.4436821937561035,0.07592739909887314,6.916125297546387
44,1708936677.5354667,140800,-0.10567022860050201,7.4436821937561035,0.06914719194173813,8.6300630569458
45,1708936677.552178,144000,-0.10627666115760803,7.375741481781006,0.06914719194173813,8.6300630569458
46,1708936678.1979916,147200,-0.10627666115760803,7.375741481781006,0.07872437685728073,7.832843780517578
47,1708936678.471097,150400,-0.12607456743717194,8.828211784362793,0.07872437685728073,7.832843780517578
48,1708936678.91183,153600,-0.12607456743717194,8.828211784362793,0.08413472026586533,6.239496231079102
49,1708936679.2948484,156800,-0.12393657863140106,6.438509941101074,0.08413472026586533,6.239496231079102
50,1708936679.6456325,160000,-0.12393657863140106,6.438509941101074,0.07360470294952393,6.603507041931152
51,1708936680.1884992,163200,-0.11824342608451843,5.858084201812744,0.07360470294952393,6.603507041931152
52,1708936680.3227217,166400,-0.11824342608451843,5.858084201812744,0.0703822672367096,5.989073276519775
53,1708936681.052407,169600,-0.12384232878684998,5.345170974731445,0.0703822672367096,5.989073276519775
54,1708936681.0867255,172800,-0.12384232878684998,5.345170974731445,0.07555412501096725,5.631044864654541
55,1708936681.756558,176000,-0.12384232878684998,5.345170974731445,0.08094176650047302,8.026163101196289
56,1708936682.0134053,179200,-0.1353408843278885,7.845162391662598,0.08094176650047302,8.026163101196289
57,1708936682.4974945,182400,-0.1353408843278885,7.845162391662598,0.08518481999635696,7.477136611938477
58,1708936682.9338212,185600,-0.14149129390716553,5.939703464508057,0.08518481999635696,7.477136611938477
59,1708936683.2860043,188800,-0.14149129390716553,5.939703464508057,0.08777377754449844,5.7753801345825195
60,1708936683.8162088,192000,-0.1463586539030075,5.512676239013672,0.08777377754449844,5.7753801345825195
61,1708936683.9989734,195200,-0.1463586539030075,5.512676239013672,0.08952924609184265,5.854701042175293
62,1708936684.7188108,198400,-0.1463586539030075,5.512676239013672,0.08768295496702194,7.235925197601318
63,1708936684.8206701,201600,-0.14851504564285278,6.670164585113525,0.08768295496702194,7.235925197601318
64,1708936685.482405,204800,-0.14851504564285278,6.670164585113525,0.08996716886758804,6.055209159851074
65,1708936685.7172585,208000,-0.1530659943819046,5.582087993621826,0.08996716886758804,6.055209159851074
66,1708936686.2415998,211200,-0.1530659943819046,5.582087993621826,0.09185829758644104,6.1311140060424805
67,1708936686.6962314,214400,-0.1556660383939743,6.273883819580078,0.09185829758644104,6.1311140060424805
68,1708936687.0092423,217600,-0.1556660383939743,6.273883819580078,0.08970128744840622,7.050982475280762
69,1708936687.602424,220800,-0.15467922389507294,6.230618476867676,0.08970128744840622,7.050982475280762
70,1708936687.7890282,224000,-0.15467922389507294,6.230618476867676,0.08857337385416031,6.22258186340332
71,1708936688.4760911,227200,-0.15467922389507294,6.230618476867676,0.09049348533153534,7.434517860412598
72,1708936688.5014336,230400,-0.15766148269176483,6.935677528381348,0.09049348533153534,7.434517860412598
73,1708936689.2323563,233600,-0.15766148269176483,6.935677528381348,0.08792445808649063,5.427366256713867
74,1708936689.425206,236800,-0.15577039122581482,4.983293533325195,0.08792445808649063,5.427366256713867
75,1708936689.9470174,240000,-0.15577039122581482,4.983293533325195,0.08627299964427948,5.365753173828125
76,1708936690.2769399,243200,-0.15659621357917786,4.7701029777526855,0.08627299964427948,5.365753173828125
77,1708936690.6496027,246400,-0.15659621357917786,4.7701029777526855,0.08663685619831085,4.923248767852783
78,1708936691.1518433,249600,-0.15414543449878693,4.612844944000244,0.08663685619831085,4.923248767852783
79,1708936691.3687787,252800,-0.15414543449878693,4.612844944000244,0.08359503746032715,5.381819248199463
80,1708936692.0207531,256000,-0.14968712627887726,4.492289066314697,0.08359503746032715,5.381819248199463
81,1708936692.164282,259200,-0.14968712627887726,4.492289066314697,0.07934809476137161,5.048250198364258
82,1708936692.9266043,262400,-0.14968712627887726,4.492289066314697,0.07726624608039856,4.656588554382324
83,1708936692.9514596,265600,-0.1483362913131714,4.144584655761719,0.07726624608039856,4.656588554382324
84,1708936693.6795018,268800,-0.1483362913131714,4.144584655761719,0.0774424746632576,4.775395393371582
85,1708936693.830878,272000,-0.14983002841472626,4.201904296875,0.0774424746632576,4.775395393371582
86,1708936694.3839977,275200,-0.14983002841472626,4.201904296875,0.07584134489297867,4.8739333152771
87,1708936694.6883662,278400,-0.14875921607017517,4.207380294799805,0.07584134489297867,4.8739333152771
88,1708936695.126784,281600,-0.14875921607017517,4.207380294799805,0.073591448366642,4.3996453285217285
89,1708936695.602397,284800,-0.14465144276618958,3.4266695976257324,0.073591448366642,4.3996453285217285
90,1708936695.9266574,288000,-0.14465144276618958,3.4266695976257324,0.0707121193408966,3.5909056663513184
91,1708936696.5002635,291200,-0.14022400975227356,3.53659725189209,0.0707121193408966,3.5909056663513184
92,1708936696.714184,294400,-0.14022400975227356,3.53659725189209,0.06678510457277298,3.9335083961486816
93,1708936697.3767967,297600,-0.1375277042388916,3.464273691177368,0.06678510457277298,3.9335083961486816
94,1708936697.5144806,300800,-0.1375277042388916,3.464273691177368,0.06381385773420334,3.719989538192749
95,1708936698.2877295,304000,-0.1375277042388916,3.464273691177368,0.061077676713466644,3.931187152862549
96,1708936698.3585582,307200,-0.13434845209121704,3.533911943435669,0.061077676713466644,3.931187152862549
97,1708936699.0808346,310400,-0.13434845209121704,3.533911943435669,0.058777861297130585,3.822033643722534
98,1708936699.2916114,313600,-0.13134324550628662,3.6237213611602783,0.058777861297130585,3.822033643722534
99,1708936699.8912418,316800,-0.13134324550628662,3.6237213611602783,0.059109870344400406,5.380988121032715
100,1708936700.1728082,320000,-0.13360454142093658,4.528802394866943,0.059109870344400406,5.380988121032715
101,1708936700.590578,323200,-0.13360454142093658,4.528802394866943,0.057317204773426056,4.744542121887207
102,1708936701.0106332,326400,-0.1285773068666458,3.7386558055877686,0.057317204773426056,4.744542121887207
103,1708936701.347518,329600,-0.1285773068666458,3.7386558055877686,0.053429871797561646,3.901522636413574
104,1708936701.9576805,332800,-0.12452351301908493,3.6931772232055664,0.053429871797561646,3.901522636413574
105,1708936702.1508615,336000,-0.12452351301908493,3.6931772232055664,0.049321386963129044,3.954793691635132
106,1708936702.847059,339200,-0.12179034948348999,2.9949190616607666,0.049321386963129044,3.954793691635132
107,1708936702.9026704,342400,-0.12179034948348999,2.9949190616607666,0.04751799628138542,3.3741397857666016
108,1708936703.7164724,345600,-0.12179034948348999,2.9949190616607666,0.04574590548872948,3.2222046852111816
109,1708936703.7346764,348800,-0.11951800435781479,2.8102777004241943,0.04574590548872948,3.2222046852111816
110,1708936704.4338186,352000,-0.11951800435781479,2.8102777004241943,0.04403002932667732,3.067234516143799
111,1708936704.5728054,355200,-0.11804366856813431,2.652651309967041,0.04403002932667732,3.067234516143799
112,1708936705.174511,358400,-0.11804366856813431,2.652651309967041,0.04028671234846115,3.043910264968872
113,1708936705.4315608,361600,-0.11307651549577713,2.530122756958008,0.04028671234846115,3.043910264968872
114,1708936705.9099383,364800,-0.11307651549577713,2.530122756958008,0.03645557910203934,3.1351842880249023
115,1708936706.2482195,368000,-0.10751599073410034,2.4908971786499023,0.03645557910203934,3.1351842880249023
116,1708936706.7096362,371200,-0.10751599073410034,2.4908971786499023,0.03327742964029312,2.9626879692077637
117,1708936707.2170625,374400,-0.10527187585830688,2.217003583908081,0.03327742964029312,2.9626879692077637
118,1708936707.5516071,377600,-0.10527187585830688,2.217003583908081,0.031248437240719795,2.6113147735595703
119,1708936708.091332,380800,-0.10415303707122803,2.143993616104126,0.031248437240719795,2.6113147735595703
120,1708936708.288962,384000,-0.10415303707122803,2.143993616104126,0.02983221411705017,2.806899309158325
121,1708936708.92481,387200,-0.10115613788366318,2.1255857944488525,0.02983221411705017,2.806899309158325
122,1708936709.0755956,390400,-0.10115613788366318,2.1255857944488525,0.026871632784605026,2.5938234329223633
123,1708936709.8210375,393600,-0.10115613788366318,2.1255857944488525,0.025496069341897964,2.513148546218872
124,1708936709.840143,396800,-0.09911394119262695,1.9488667249679565,0.025496069341897964,2.513148546218872
125,1708936710.5822861,400000,-0.09911394119262695,1.9488667249679565,0.022218236699700356,2.8494701385498047
126,1708936710.6625679,403200,-0.09520943462848663,2.2145602703094482,0.022218236699700356,2.8494701385498047
127,1708936711.4007454,406400,-0.09520943462848663,2.2145602703094482,0.020770110189914703,2.5726397037506104
128,1708936711.6308763,409600,-0.09345662593841553,1.9867857694625854,0.020770110189914703,2.5726397037506104
129,1708936712.2058535,412800,-0.09345662593841553,1.9867857694625854,0.017827816307544708,2.848745822906494
130,1708936712.5477445,416000,-0.08946681767702103,2.395026683807373,0.017827816307544708,2.848745822906494
131,1708936712.9932096,419200,-0.08946681767702103,2.395026683807373,0.015617125667631626,2.4018235206604004
132,1708936713.4129748,422400,-0.08679119497537613,1.777944803237915,0.015617125667631626,2.4018235206604004
133,1708936713.7239776,425600,-0.08679119497537613,1.777944803237915,0.0136165926232934,2.7626476287841797
134,1708936714.3452742,428800,-0.08609549701213837,2.775660991668701,0.0136165926232934,2.7626476287841797
135,1708936714.5019395,432000,-0.08609549701213837,2.775660991668701,0.012189057655632496,3.1122705936431885
136,1708936715.287123,435200,-0.08609549701213837,2.775660991668701,0.012291488237679005,3.6581151485443115
137,1708936715.2903097,438400,-0.08564357459545135,3.3062822818756104,0.012291488237679005,3.6581151485443115
138,1708936716.072709,441600,-0.08564357459545135,3.3062822818756104,0.011529688723385334,2.6591796875
139,1708936716.1805985,444800,-0.08531344681978226,2.407975673675537,0.011529688723385334,2.6591796875
140,1708936716.855676,448000,-0.08531344681978226,2.407975673675537,0.009891856461763382,2.794419050216675
141,1708936717.0753994,451200,-0.08291496336460114,2.262711524963379,0.009891856461763382,2.794419050216675
142,1708936717.5839846,454400,-0.08291496336460114,2.262711524963379,0.008693089708685875,2.2616868019104004
143,1708936717.9083922,457600,-0.0825638398528099,2.055516242980957,0.008693089708685875,2.2616868019104004
144,1708936718.4060657,460800,-0.0825638398528099,2.055516242980957,0.006663301959633827,3.174933671951294
145,1708936718.911537,464000,-0.08060454577207565,2.3486430644989014,0.006663301959633827,3.174933671951294
146,1708936719.261244,467200,-0.08060454577207565,2.3486430644989014,0.006709272973239422,2.312363862991333
147,1708936719.7785678,470400,-0.07894271612167358,2.2704155445098877,0.006709272973239422,2.312363862991333
148,1708936720.0038528,473600,-0.07894271612167358,2.2704155445098877,0.004226465243846178,3.243626117706299
149,1708936720.600188,476800,-0.07834919542074203,1.8814677000045776,0.004226465243846178,3.243626117706299
150,1708936720.768256,480000,-0.07834919542074203,1.8814677000045776,0.004093846771866083,2.150120496749878
151,1708936721.4774692,483200,-0.07746507972478867,1.7333570718765259,0.004093846771866083,2.150120496749878
152,1708936721.47957,486400,-0.07746507972478867,1.7333570718765259,0.003127372357994318,2.0457465648651123
153,1708936722.2260108,489600,-0.07746507972478867,1.7333570718765259,0.00257022469304502,2.0089166164398193
154,1708936722.3088045,492800,-0.07713966071605682,1.7381961345672607,0.00257022469304502,2.0089166164398193
155,1708936722.9457176,496000,-0.07713966071605682,1.7381961345672607,0.002064644591882825,2.121734857559204
156,1708936723.1664798,499200,-0.07647892832756042,1.7152485847473145,0.002064644591882825,2.121734857559204
157,1708936723.7228878,502400,-0.07647892832756042,1.7152485847473145,0.00044509145664051175,1.935628056526184
158,1708936724.0081055,505600,-0.07480312138795853,1.3440991640090942,0.00044509145664051175,1.935628056526184
